run_id                                          , timestamp      , __training, batch_size, buffer_size, beta  , epsilon, lambd             , num_epoch, learning_rate, behavior_name, env_path                                                                            , max_steps, seed, time_horizon, summary_freq, num_layers, cpu_count, ram_gb, gpu_name, gpu_mem_gb, mean_reward, platform                    , user
20251112-004733-3DBall-ppo-lr5e-05-bs1024-sanity, 20251112-004733, ppo       ,       1024,     10240.0, 0.0005,     0.2, 0.95              ,       3.0, 5e-05        , 3DBall       ,                                                                                     ,     10000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,       1.022, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251112-005533-3DBall-ppo-lr0.0003-bs2048      , 20251112-005533, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8               ,       3.0, 0.0003       , 3DBall       ,                                                                                     ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      25.473, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251112-010111-3DBall-ppo-lr0.0003-bs2048      , 20251112-010111, ppo       ,       2048,            ,       ,        ,                   ,          , 0.0003       , 3DBall       ,                                                                                     ,    500000,    1,             ,             ,           ,         8,   16.0, Apple M3, 16 GB     ,       0.0  , macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251116-225211-3DBall-ppo-lr0.0003-bs2048      , 20251116-225211, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8               ,       3.0, 0.0003       , 3DBall       ,                                                                                     ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      25.473, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-230902-3DBall-ppo-lr0.0003-bs2048      , 20251117-230902, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8               ,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      25.188, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-231222-3DBall-ppo-lr0.0003-bs2048      , 20251117-231222, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8               ,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      25.188, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-231543-3DBall-ppo-lr0.0003-bs2048      , 20251117-231543, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8               ,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      25.188, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-231907-3DBall-ppo-lr0.0003-bs2048      , 20251117-231907, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8500000000000001,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      24.623, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-232217-3DBall-ppo-lr0.0003-bs2048      , 20251117-232217, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8500000000000001,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      24.623, macOS-15.6.1-arm64-arm-64bit, mariamkamara
20251117-232527-3DBall-ppo-lr0.0003-bs2048      , 20251117-232527, ppo       ,       2048,     10240.0, 0.0005,     0.2, 0.8500000000000001,       3.0, 0.0003       , 3DBall       , /Users/mariamkamara/Desktop/Project2-1/ml-agents/Project/Build/3DBallBuild.app      ,    500000,    1,         64.0,      10000.0,        2.0,         8,   16.0, Apple M3, 16 GB     ,      24.623, macOS-15.6.1-arm64-arm-64bit, mariamkamara
